timestamp,threshold,attention,score,spaceship_position,spaceship_velocity
2021-04-11 17:43:11,897,50,56,85,-7.727599999999994,-0.42000000000000004
2021-04-11 17:43:11,914,50,56,85,-7.798999999999993,-0.42000000000000004
2021-04-11 17:43:11,931,50,56,85,-7.870399999999993,-0.42000000000000004
2021-04-11 17:43:11,949,50,56,85,-7.956799999999993,-0.4800000000000001
2021-04-11 17:43:11,965,50,56,85,-8.014399999999993,-0.36
2021-04-11 17:43:11,982,50,56,85,-8.085799999999994,-0.42000000000000004
2021-04-11 17:43:11,999,50,56,85,-8.157199999999994,-0.42000000000000004
2021-04-11 17:43:12,016,50,56,85,-8.228599999999995,-0.42000000000000004
2021-04-11 17:43:12,033,50,56,85,-8.299999999999995,-0.42000000000000004
2021-04-11 17:43:12,049,50,56,85,-8.357599999999996,-0.36
2021-04-11 17:43:12,066,50,56,85,-8.428999999999997,-0.42000000000000004
2021-04-11 17:43:12,083,50,56,85,-8.500399999999997,-0.42000000000000004
2021-04-11 17:43:12,099,50,56,85,-8.557999999999998,-0.36
2021-04-11 17:43:12,116,50,56,85,-8.629399999999999,-0.42000000000000004
2021-04-11 17:43:12,132,50,56,85,-8.687,-0.36
2021-04-11 17:43:12,149,50,56,85,-8.7584,-0.42000000000000004
2021-04-11 17:43:12,166,50,56,85,-8.8298,-0.42000000000000004
2021-04-11 17:43:12,183,50,56,85,-8.901200000000001,-0.42000000000000004
2021-04-11 17:43:12,200,50,56,85,-8.972600000000002,-0.42000000000000004
2021-04-11 17:43:12,218,50,56,85,-9.044000000000002,-0.42000000000000004
2021-04-11 17:43:12,235,50,56,85,-9.115400000000003,-0.42000000000000004
2021-04-11 17:43:12,252,50,56,85,-9.201800000000002,-0.4800000000000001
2021-04-11 17:43:12,268,50,56,85,-9.259400000000003,-0.36
2021-04-11 17:43:12,286,50,56,85,-9.330800000000004,-0.42000000000000004
2021-04-11 17:43:12,303,50,56,85,-9.417200000000003,-0.4800000000000001
2021-04-11 17:43:12,321,50,56,85,-9.503600000000002,-0.4800000000000001
2021-04-11 17:43:12,339,50,56,85,-9.590000000000002,-0.4800000000000001
2021-04-11 17:43:12,356,50,56,85,-9.661400000000002,-0.42000000000000004
2021-04-11 17:43:12,373,50,56,85,-9.732800000000003,-0.42000000000000004
2021-04-11 17:43:12,391,50,56,85,-9.819200000000002,-0.4800000000000001
2021-04-11 17:43:12,408,50,56,85,-9.890600000000003,-0.42000000000000004
2021-04-11 17:43:12,426,50,56,85,-9.977000000000002,-0.4800000000000001
2021-04-11 17:43:12,444,50,56,85,-10.063400000000001,-0.4800000000000001
2021-04-11 17:43:12,462,50,56,85,-10.1498,-0.4800000000000001
2021-04-11 17:43:12,481,50,56,85,-10.252400000000002,-0.5400000000000001
2021-04-11 17:43:12,500,50,56,85,-10.355000000000002,-0.5400000000000001
