timestamp,threshold,attention,score,spaceship_position,spaceship_velocity
2021-04-12 14:54:31,310,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,327,70,44,0,-27.9375,-3.62
2021-04-12 14:54:31,343,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,359,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,375,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,395,70,44,0,-27.9375,-3.74
2021-04-12 14:54:31,412,70,44,0,-27.9375,-3.68
2021-04-12 14:54:31,429,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,449,70,44,0,-27.9375,-3.8000000000000003
2021-04-12 14:54:31,465,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,482,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,500,70,44,0,-27.9375,-3.68
2021-04-12 14:54:31,519,70,44,0,-27.9375,-3.8000000000000003
2021-04-12 14:54:31,535,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,552,70,44,0,-27.9375,-3.62
2021-04-12 14:54:31,569,70,44,0,-27.9375,-3.62
2021-04-12 14:54:31,588,70,44,0,-27.9375,-3.74
2021-04-12 14:54:31,605,70,44,0,-27.9375,-3.62
2021-04-12 14:54:31,625,70,44,0,-27.9375,-3.68
2021-04-12 14:54:31,641,70,44,0,-27.9375,-3.68
2021-04-12 14:54:31,658,70,44,0,-27.9375,-3.62
2021-04-12 14:54:31,677,70,44,0,-27.9375,-3.68
2021-04-12 14:54:31,692,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,709,70,44,0,-27.9375,-3.62
2021-04-12 14:54:31,726,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,743,70,44,0,-27.9375,-3.68
2021-04-12 14:54:31,759,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,783,70,44,0,-27.9375,-4.04
2021-04-12 14:54:31,800,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,816,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,831,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,848,70,44,0,-27.9375,-3.62
2021-04-12 14:54:31,864,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,881,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,897,70,44,0,-27.9375,-3.62
2021-04-12 14:54:31,914,70,44,0,-27.9375,-3.62
2021-04-12 14:54:31,930,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,946,70,44,0,-27.9375,-3.56
2021-04-12 14:54:31,964,70,44,0,-27.9375,-3.68
2021-04-12 14:54:31,982,70,44,0,-27.9375,-3.56
2021-04-12 14:54:32,000,70,44,0,-27.9375,-3.8000000000000003
2021-04-12 14:54:32,017,70,44,0,-27.9375,-3.62
2021-04-12 14:54:32,034,70,44,0,-27.9375,-3.56
2021-04-12 14:54:32,050,70,44,0,-27.9375,-3.56
2021-04-12 14:54:32,067,70,44,0,-27.9375,-3.62
2021-04-12 14:54:32,083,70,44,0,-27.9375,-3.62
2021-04-12 14:54:32,099,70,44,0,-27.9375,-3.56
2021-04-12 14:54:32,116,70,44,0,-27.9375,-3.56
2021-04-12 14:54:32,132,70,44,0,-27.9375,-3.62
2021-04-12 14:54:32,148,70,44,0,-27.9375,-3.56
2021-04-12 14:54:32,165,70,43,0,-27.9375,-3.72
2021-04-12 14:54:32,181,70,43,0,-27.9375,-3.66
